Name,Mean (ps),2*Stdev (ps)
All.Database operations.Charging infrastructure,1376612400000,111263164850
All.Database operations.System status,1429261000000,55552872832
All.Database operations.Charging events,1453397600000,37446088778
All.Database operations.Query status factors,1442885000000,50271280270
All.Database operations.Docking/undocking events,1454849600000,26948196836
All.Database operations.Station occupancy (7001),1438882600000,30700318902
All.Database operations.Station occupancy (all),1439323800000,46521841484
All.Database operations.Station information decoding,1454106000000,49944814344
All.Database operations.Field integrals,1406238000000,33643878788
